name,image
Luis Cernuda,https://upload.wikimedia.org/wikipedia/en/3/3c/Luis_Cernuda_image.jpg
Robert Chafe,NaN
Jessie Chandler,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Jessiechandler.JPG/220px-Jessiechandler.JPG
Graham Chapman,https://upload.wikimedia.org/wikipedia/en/f/f7/Graham_Chapman_Portrait.png
Normand Chaurette,NaN
John Cheever,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Johncheever.jpg/220px-Johncheever.jpg
Wayson Choy,NaN
Helene Cixous,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/H%C3%A9l%C3%A8ne_Cixous_par_Claude_Truong-Ngoc_2011.jpg/220px-H%C3%A9l%C3%A8ne_Cixous_par_Claude_Truong-Ngoc_2011.jpg
John Cleland,NaN
Kate Clinton,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/KateClinton.jpg/220px-KateClinton.jpg
Jean Cocteau,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jean_Cocteau_b_Meurisse_1923.jpg/220px-Jean_Cocteau_b_Meurisse_1923.jpg
Christopher Coe,NaN
Henri Cole,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Henri_Cole_.jpg/220px-Henri_Cole_.jpg
Colette,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Colette_-_photo_Henri_Manuel.jpg/220px-Colette_-_photo_Henri_Manuel.jpg
Joey Comeau,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/JoeyComeau.jpg/250px-JoeyComeau.jpg
Ivy Compton-Burnett,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Ivy_Compton-Burnett.jpg/180px-Ivy_Compton-Burnett.jpg
Carmen Conde Abellan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Carmen_Conde_statue.jpg/220px-Carmen_Conde_statue.jpg
Timothy Conigrave,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Timothy_Conigrave.jpg/220px-Timothy_Conigrave.jpg
Garrard Conley,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Garrard_Conley_%28cropped%29.jpg/220px-Garrard_Conley_%28cropped%29.jpg
Dennis Cooper,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Intervista_a_Dennis_Cooper_-_33%C2%B0_Lovers_Film_Festival.jpg/220px-Intervista_a_Dennis_Cooper_-_33%C2%B0_Lovers_Film_Festival.jpg
Rick Copp,NaN
Steven Corbin,NaN
Jeanne Cordova,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Jeanne_Cordova_Lammy.jpg/220px-Jeanne_Cordova_Lammy.jpg
Marie Corelli,https://upload.wikimedia.org/wikipedia/commons/7/7c/MarieCorelli.jpg
Douglas Coupland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Douglas_Coupland_Photo_of_Author.jpg/220px-Douglas_Coupland_Photo_of_Author.jpg
Dani Couture,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Dani_Couture_-_Eden_Mills_Writers_Festival_-_2012_%28DanH-3921%29_%28cropped%29.jpg/220px-Dani_Couture_-_Eden_Mills_Writers_Festival_-_2012_%28DanH-3921%29_%28cropped%29.jpg
Daniel Allen Cox,NaN
Ivan Coyote,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Ivan_Coyote.jpg/220px-Ivan_Coyote.jpg
Caleb Crain,NaN
Hart Crane,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Hart_Crane.jpg/220px-Hart_Crane.jpg
Quentin Crisp,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/QuentinCrisp-RossBennettLewisPHOTO.jpg/200px-QuentinCrisp-RossBennettLewisPHOTO.jpg
Eva Crocker,NaN
Mart Crowley,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Mart_Crowley.jpg/220px-Mart_Crowley.jpg
Countee Cullen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Counteecullen.jpg/220px-Counteecullen.jpg
Nancy Jo Cullen,NaN
Michael Cunningham,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Michael_Cunningham_JB_by_David_Shankbone.jpg/220px-Michael_Cunningham_JB_by_David_Shankbone.jpg
Peter Cureton,NaN
Jameson Currier,NaN
Jean-Paul Daoust,NaN
Jim David,NaN
Tanya Davis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Tanya_Davis_au_Casa_Del_Popolo.jpg/220px-Tanya_Davis_au_Casa_Del_Popolo.jpg
Amber Dawn,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Dayne_Ogilvie_Prize_winner_Amber_Dawn.jpg/220px-Dayne_Ogilvie_Prize_winner_Amber_Dawn.jpg
Samuel R. Delany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Samuel_R._Delany_%28headshot_2%29.png/220px-Samuel_R._Delany_%28headshot_2%29.png
A. M. Dellamonica,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Alyxandra_Margaret_%28A._M.%29_Dellamonica_at_FanExpo_2013_%28cropped%29.jpg/220px-Alyxandra_Margaret_%28A._M.%29_Dellamonica_at_FanExpo_2013_%28cropped%29.jpg
Joel Derfner,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Joel_Derfner.jpg/220px-Joel_Derfner.jpg
Emily Dickinson,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Black-white_photograph_of_Emily_Dickinson2.png/220px-Black-white_photograph_of_Emily_Dickinson2.png
Joe DiPietro,NaN
Thomas Disch,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Thomas_M._Disch_with_his_books.jpg/220px-Thomas_M._Disch_with_his_books.jpg
Farzana Doctor,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Dayne_Ogilvie_Prize_winner_Farzana_Doctor.jpg/220px-Dayne_Ogilvie_Prize_winner_Farzana_Doctor.jpg
John Donne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/John_Donne_by_Isaac_Oliver.jpg/220px-John_Donne_by_Isaac_Oliver.jpg
Emma Donoghue,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Irish-Canadian_author_Emma_Donoghue.JPG/220px-Irish-Canadian_author_Emma_Donoghue.JPG
Jose Donoso,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Jos%C3%A9_Donoso%2C_1981.jpg/300px-Jos%C3%A9_Donoso%2C_1981.jpg
John Donovan,NaN
H.D.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/H.D._in_Tendencies_in_Modern_American_Poetry%2C_1917_-_cropped.jpg/220px-H.D._in_Tendencies_in_Modern_American_Poetry%2C_1917_-_cropped.jpg
Fernand Dorais,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Photo_de_Fernand_Dorais.jpg/220px-Photo_de_Fernand_Dorais.jpg
Mark Doty,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Mark_doty8006.JPG/220px-Mark_doty8006.JPG
Lord Alfred Douglas,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Lord_Alfred_Douglas_by_George_Charles_Beresford_%281903%29.jpg/220px-Lord_Alfred_Douglas_by_George_Charles_Beresford_%281903%29.jpg
Norman Douglas,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Norman_Douglas_%28cropped%29.jpg/220px-Norman_Douglas_%28cropped%29.jpg
Brian Drader,NaN
Neal Drinnan,NaN
Daphne du Maurier,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Young_Daphne_du_Maurier.jpg/220px-Young_Daphne_du_Maurier.jpg
Peter Dube,NaN
Carol Ann Duffy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Carol_Ann_Duffy_%28cropped%29.jpg/210px-Carol_Ann_Duffy_%28cropped%29.jpg
Maureen Duffy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Maureen_duffy.jpg/220px-Maureen_duffy.jpg
Stella Duffy,NaN
Warren Dunford,NaN
Larry Duplechan,NaN
Elana Dykewomon,NaN
Jim Egan,NaN
Bret Easton Ellis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Ellis.jpg/220px-Ellis.jpg
Chike Frankie Edozien,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Headshots.jpg/220px-Headshots.jpg
Jorge Eduardo Eielson,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Jorge_Eduardo_Eielson.jpg/220px-Jorge_Eduardo_Eielson.jpg
Lars Eighner,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Eigner.png/220px-Eigner.png
Deborah Ellis,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Deborah_Ellis.jpg/220px-Deborah_Ellis.jpg
Sarah Ellis,NaN
T. S. Eliot,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Thomas_Stearns_Eliot_by_Lady_Ottoline_Morrell_%281934%29.jpg/220px-Thomas_Stearns_Eliot_by_Lady_Ottoline_Morrell_%281934%29.jpg
Gloria Escomel,NaN
Michael Estok,NaN
Leslie Feinberg,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Leslie_Feinberg.jpg/220px-Leslie_Feinberg.jpg
Joshua M. Ferguson,NaN
Harvey Fierstein,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Harvey_Fierstein_Shankbone_Metropolitan_Opera_2009.jpg/220px-Harvey_Fierstein_Shankbone_Metropolitan_Opera_2009.jpg
Connie Fife,NaN
Timothy Findley,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Timothy_findley.jpg/220px-Timothy_findley.jpg
Ronald Firbank,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Portrait_of_Ronald_Firbank.jpg/220px-Portrait_of_Ronald_Firbank.jpg
Diane Flacks,NaN
Janet Flanner,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Jannet_Flanners_%28cropped%29.jpg/220px-Jannet_Flanners_%28cropped%29.jpg
Waawaate Fobister,NaN
Michael Thomas Ford,NaN
E. M. Forster,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/E._M._Forster_von_Dora_Carrington%2C_1924-25.jpg/220px-E._M._Forster_von_Dora_Carrington%2C_1924-25.jpg
Guy Mark Foster,NaN
Marion Foster,NaN
Michel Foucault,https://upload.wikimedia.org/wikipedia/commons/7/76/Michel_Foucault_1974_Brasil.jpg
Brian Francis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Brian_Trent_Francis_speaking_%28cropped%29.jpg/220px-Brian_Trent_Francis_speaking_%28cropped%29.jpg
Judith Frank,NaN
Mary Eleanor Wilkins Freeman,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Mary_E_Wilkins_Freeman_2.jpg/220px-Mary_E_Wilkins_Freeman_2.jpg
Alice French,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Youngalicefrench.jpg/220px-Youngalicefrench.jpg
Wes Funk,NaN
Federico Garcia Lorca,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Fotograf%C3%ADa_an%C3%B3nima_MNCARS_4.jpg/220px-Fotograf%C3%ADa_an%C3%B3nima_MNCARS_4.jpg
Gustavo Alvarez Gardeazabal,NaN
Nancy Garden,NaN
C. E. Gatchalian,NaN
Daniel Gawthrop,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Daniel_Gawthrop.jpg/220px-Daniel_Gawthrop.jpg
Jean Genet,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/JeanGenet-HansKoechler1983-cropped.jpg/250px-JeanGenet-HansKoechler1983-cropped.jpg
