,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary,id,BookConnections
86,Yukio Mishima,1925,Japanese,"poet, playwright, novelist",Confessions of a Mask,False,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Yukio_Mishima_cropped.jpg/220px-Yukio_Mishima_cropped.jpg,,86,"286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314"
87,Ethan Mordden,1949,American,"novelist, essayist","""Buddies"" cycle of novels",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/21168,,87,
88,Erwin Mortier,1965,Belgian,"novelist, poet, essayist, translator",While the Gods Were Sleeping,False,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Erwinmortier675.jpg/220px-Erwinmortier675.jpg,,88,"315,316,317,318,319,320"
89,Fiona Patton,1962,Canadian,novelist,The Branion Realm (book series),False,,,89,
90,Petronius,2766,Roman,novelist,The Satyricon,False,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Petronius_Arbiter_by_Bodart_1707.jpg/220px-Petronius_Arbiter_by_Bodart_1707.jpg,,90,"321,322,323"
91,"Lev Raphael, Ph.D.",1954,American,"novelist, short stories, memoir, mysteries","Dancing on Tisha B'Av, Winter Eyes",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2003319,,91,
92,Gerard Reve,1923,Dutch,writer,"Op weg naar het einde, Nader tot U",False,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Gerard_Reve_1969-crop.jpg/220px-Gerard_Reve_1969-crop.jpg,,92,
93,Robert Rodi,1956,American,writer,"Codename: Knockout, Kept Boy",False,,,93,
94,Paul Rogers,1936,American,novelist,Saul's Book,False,,,94,
95,Sinclair Ross,1908,Canadian,novelist,As For Me and My House,False,,,95,
96,Patrick Ryan,1965,American,"short story writer, novelist","The Dream Life of Astronauts, Send Me",False,,,96,
97,Umberto Saba,1883,Italian,"poet, novelist",Songbook,False,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Umberto_Saba.jpg/220px-Umberto_Saba.jpg,,97,
98,Marquis de Sade,1740,French,"novelist, philosopher, playwright","The 120 Days of Sodom, Justine, Philosophy in the Bedroom, Juliette",False,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Marquis_de_sade.jpg/220px-Marquis_de_sade.jpg,,98,"324,325,326"
99,Benjamin Alire Sáenz,1954,American,novelist,Everything Begins and Ends at the Kentucky Club,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2175355,,99,"327,328,329,330,331,332,333,334,335,336,337,338"
100,George Santayana,1863,Spanish-American,"novelist, poet, philosopher",The Realms of Being,False,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/George_Santayana.jpg/220px-George_Santayana.jpg,,100,"339,340"
101,Sarah Schulman,1958,American,"novelist, historian, playwright","Stagestruck: Theater, AIDS, and the Marketing of Gay America",False,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Sarah_Schulman_280603.jpg/220px-Sarah_Schulman_280603.jpg,,101,
102,Manda Scott,1962,Scottish,novelist,Hen's Teeth,False,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/MandaScott.jpg/220px-MandaScott.jpg,,102,
103,Sarah Scott,1723,English,novelist,A Description of Millenium Hall and the Country Adjacent,False,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sarah_Scott%2C_1744.png/220px-Sarah_Scott%2C_1744.png,,103,
104,David Sedaris,1956,American,"essayist, short story writer",Naked (essay collection),False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/David_Sedaris-4724.jpg/220px-David_Sedaris-4724.jpg,,104,"341,342,343,344,345,346,347,348,349,350,351,352,353,354,355"
105,Shyam Selvadurai,1965,Sri Lankan-Canadian,novelist,Funny Boy,False,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/ShyamSelvadurai.jpg/220px-ShyamSelvadurai.jpg,,105,"356,357,358,359,360,361,362,363,364"
106,Vivek Shraya,1981,Canadian,short story writer,"God Loves Hair, She of the Mountains",False,,,106,365
107,Michael Sledge,None,American,"novelist, memoirist",The More I Owe You,False,,,107,
