Ind,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary
235,Manda Scott,1962,Scottish,novelist,Hen's Teeth,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/27477,
236,Sarah Scott,1723,English,novelist,A Description of Millenium Hall and the Country Adjacent,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/230726,
237,David Sedaris,1956,American,"essayist, short story writer",Naked (essay collection),False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2006286,
238,Shyam Selvadurai,1965,Sri Lankan-Canadian,novelist,Funny Boy,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/27647,
241,Vivek Shraya,1981,Canadian,short story writer,"God Loves Hair, She of the Mountains",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172552,
242,Michael Sledge,None,American,"novelist, memoirist",The More I Owe You,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247209,
253,Andreas Steinhofel,1962,German,"novelist, author for children and teenagers",The Center of the World,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/29675,
254,Howard Sturgis,1855,Anglo-American,novelist,"Tim: A Story of School Life, All That Was Possible",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/79136,
266,Christos Tsiolkas,1965,Australian,novelist,The Slap,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/182291,
267,Fernando Vallejo,1942,Colombian,novelist,Our Lady of the Assassins,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172125,
268,Carl Van Vechten,1880,American,"novelist, photographer",Nigger Heaven,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/45266,
276,John Weir,1959,American,"novelist, journalist","The Irreversible Decline of Eddie Socket, What I Did Wrong",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/237144,
277,Joshua Whitehead,None,Canadian,"poet, novelist","Full-Metal Indigiqueer, Johnny Appleseed",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199234,
278,Angus Wilson,1913,English,author,Hemlock and After,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112120,
281,Marnie Woodrow,1969,Canadian,novelist,Spelling Mississippi,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33691,
287,Marguerite Yourcenar,1903,French,novelist,Memoirs of Hadrian,False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172137,
288,Eve Zaremba,1930,Polish/Canadian,mystery novelist,"A Reason to Kill, The Butterfly Effect",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2244187,
