,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
247,Hay House,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Hay_House_logo.gif/100px-Hay_House_logo.gif,United States,Audio,[1],Unkown,Carlsbad,www.hayhouse.com,"27,31","125,127,128,131",247
248,Haynes Manual,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Haynes-Logo.png/125px-Haynes-Logo.png,United Kingdom,Books,1960,Unkown,Sparkford,haynes.com,,,248
249,Headline Publishing Group,-1,United Kingdom,Books,1986; 35 years ago (1986),Hachette,London,www.headline.co.uk,,,249
250,Heinemann,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Heinemann_logo.gif/150px-Heinemann_logo.gif,United States,Unknown,1978; 43 years ago (1978),Pearson Education,"Portsmouth, New Hampshire",www.heinemann.com,77,234,250
251,Harcourt Education,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Harcourtlogo.jpg/220px-Harcourtlogo.jpg,United States,Books,1919,Unkown,San Diego,www.harcourt.com,,,251
252,RELX,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/RELX_logo.svg/220px-RELX_logo.svg.png,Unknown,Unknown,1993; 28 years ago (1993)(by merger),Unkown,Unknown,Not available,,,252
253,Hesperus Press,-1,United Kingdom,Books,2001,Unkown,"28 Mortimer Street, London W1W 7RD",www.hesperus.press,,,253
254,Hemus,https://upload.wikimedia.org/wikipedia/commons/9/95/Hemus_logo-01.png,Kingdom of Bulgaria,Book,1918; 103 years ago (1918),Unkown,Sofia,http://alegzander.com/,,,254
255,Heyday Books,-1,United States,"books, magazines",1974,Unkown,"Berkeley, California",www.heydaybooks.com,,,255
256,Hodder & Stoughton,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hodder_%26_Stoughton_%28logo%29.jpg/200px-Hodder_%26_Stoughton_%28logo%29.jpg,United Kingdom,Unknown,1868; 153 years ago (1868),Hachette,London,hodder.co.uk,,,256
257,Hogarth Press,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg/220px-Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg,United Kingdom,Books,1917,Chatto & Windus,London,Official website,,,257
258,Holland Park Press,-1,United Kingdom,Books,2009; 12 years ago (2009),Unkown,"London, England",www.hollandparkpress.co.uk,,,258
259,Holt McDougal,https://upload.wikimedia.org/wikipedia/en/6/67/Holt%2C_Rinehart_%26_Winston_%28emblem%29.png,United States,"Textbooks, children's books",March 1960; 61 years ago (1960-03),Houghton Mifflin Harcourt,Unknown,www.hmcd.com,,,259
260,Hoover Institution Press,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Hoover_Institution_Logo.svg/250px-Hoover_Institution_Logo.svg.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,260
261,Horizon Scientific Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Caister-academic-press.jpg/250px-Caister-academic-press.jpg,United Kingdom,Unknown,1993,Unkown,"Poole, UK",www.caister.com,,,261
262,Houghton Mifflin Harcourt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Houghton_MHarcourt_2012logo.png/220px-Houghton_MHarcourt_2012logo.png,United States,"Books, software",1832; 189 years ago (1832),Unkown,"Boston, Massachusetts",www.hmhco.com,105,361,262
263,House of Anansi Press,-1,Canada,Unknown,[1],Unkown,Toronto,www.houseofanansi.com,118,440,263
264,The House of Murky Depths,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Murky_Depths_Iissue17_cover.jpg/220px-Murky_Depths_Iissue17_cover.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,264
265,Howell-North Books,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Howell_North_Books_colophon.gif/100px-Howell_North_Books_colophon.gif,Unknown,books,Unknown,Unkown,"Berkeley, California",Not available,,,265
266,Humana Press,-1,United States,journals,1976,Unkown,"Totowa, New Jersey",www.springer.com/humana,,,266
267,Hutchinson,-1,United Kingdom,Books,1887; 134 years ago (1887),Penguin Random House,Unknown,www.penguin.co.uk/company/publishers/cornerstone/hutchinson.html,,,267
268,Ian Allan Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg/250px-Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg,United Kingdom,Books,1942,Unkown,Shepperton,www.ianallanpublishing.com,,,268
269,Ignatius Press,https://upload.wikimedia.org/wikipedia/commons/3/36/IgnatiusPress.png,United States,Unknown,1978,Guadalupe Associates,San Francisco,ignatius.com,,,269
270,Indiana University Press,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Iu_press_logo.png/150px-Iu_press_logo.png,United States,Books,1950,Indiana University,"Bloomington, Indiana",iupress.org,,,270
271,Informa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Informa_logo.svg/220px-Informa_logo.svg.png,Unknown,Unknown,December 1998,Unkown,Unknown,Not available,,,271
272,Information Age Publishing,-1,United States,Books,1999,Unkown,"Charlotte, North Carolina",www.infoagepub.com,,,272
273,International Association of Engineers,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/IAENG_logo.jpg/250px-IAENG_logo.jpg,Unknown,Unknown,1968; 53 years ago (1968),Unkown,Unknown,Not available,,,273
274,International Universities Press,-1,United States,Unknown,1944,Unkown,"Madison, CT",www.iup.com,,,274
