name,image,origin,publication_types,founded,parent_comp,hq,website
Emerald Group Publishing,-1,United Kingdom,Academic journals,1967,Unkown,Bingley,www.emeraldgrouppublishing.com
Enitharmon Press,-1,United Kingdom,Unknown,1967 (1967),Unkown,Unknown,enitharmon.co.uk
Ernest Benn Limited,-1,United Kingdom,"Books, magazines",1880,Unkown,Unknown,Not available
Europa Editions UK,-1,United Kingdom,Books,2011,Unkown,City of Westminster,europaeditions.co.uk
Europa Publications,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Routledge_logo.svg/150px-Routledge_logo.svg.png,United Kingdom,academic journals,1851; 170 years ago (1851),Taylor & Francis,Milton Park,routledge.com
Evangelical Press,-1,United Kingdom,Books,1967,Unkown,Welwyn Garden City,epbooks.org
Evans Brothers Ltd,-1,United Kingdom,Books,1903,Unkown,London,Not available
Everyman's Library,https://upload.wikimedia.org/wikipedia/en/0/09/Everymans_Library_logo.png,United Kingdom,Books,1906,Random House,"New York City, United States",www.randomhouse.com/knopf/classics/
Eyre & Spottiswoode,-1,United Kingdom,Books,Unknown,Unkown,London,Not available
Faber and Faber,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Faber_and_Faber_logo.jpg/100px-Faber_and_Faber_logo.jpg,United Kingdom,Books,1929; 92 years ago (1929),Unkown,"London, England",faber.co.uk
T. Fisher Unwin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Tunwinprintermark.png/220px-Tunwinprintermark.png,United Kingdom,Books,1882,Unkown,Unknown,Not available
Fitzroy Dearborn Publishers,-1,United States,Books,1994,Unkown,Chicago,Not available
Focal Press,https://upload.wikimedia.org/wikipedia/en/7/73/Focal_Press_Logo.png,Unknown,Unknown,1938,Routledge,"Waltham, Massachusetts",www.focalpress.com
Folio Society,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Folio_Society_logo.jpg/150px-Folio_Society_logo.jpg,United Kingdom,Limited Editions,1947; 74 years ago (1947),Unkown,"4 Maguire Street, London",foliosociety.com
Footprint Travel Guides,-1,United Kingdom,Books,1922,Bradt Travel Guides,"Bath, Somerset",www.footprinttravelguides.com
Frederick Warne & Co.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Frederick_Warne_%26_Co_logo.jpg/200px-Frederick_Warne_%26_Co_logo.jpg,United Kingdom,Unknown,July 1865; 156 years ago (July 1865),Penguin Random House,London,www.penguin.com/meet/publishers/frederickwarne/
Free Association Books,-1,United Kingdom,books,1980s,Unkown,London,www.freeassociationpublishing.com
Gaberbocchus Press,-1,United Kingdom,Books,1948,Unkown,London,www.gaberbocchus.nl
Garland Science,-1,United States,Textbooks,1968,Taylor & Francis,New York City,www.garlandscience.com
George Newnes Ltd,-1,England,periodicals,1891,Odhams Press,Southampton Street,Not available
Girls Gone By Publishers,https://upload.wikimedia.org/wikipedia/en/0/08/GGBP_r1_c2.gif,United Kingdom,Books,Unknown,Unkown,"Coleford, Bath, Somerset",Girls Gone By website
The Good Book Company,-1,United Kingdom,Books,1991,Unkown,Epsom,www.thegoodbook.com
Granada Publishing,https://upload.wikimedia.org/wikipedia/commons/c/c7/Granada_logo.PNG,Unknown,Unknown,1930; 91 years ago (1930),Unkown,Unknown,Not available
Grant Richards (publishing house),-1,United Kingdom,Books,1897,Unkown,London,Not available
Hakluyt Society,https://upload.wikimedia.org/wikipedia/en/0/00/Hakluyt_Society_logo.gif,United Kingdom,Books,15 December 1846,Unkown,London,www.hakluyt.com
Hamish Hamilton,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Hamish_Hamilton_%28logo%29.png/220px-Hamish_Hamilton_%28logo%29.png,United Kingdom,Books,1931; 90 years ago (1931),Penguin Random House,London,www.penguin.co.uk
Hamlyn (publisher),-1,United Kingdom,Books,1950; 71 years ago (1950),Octopus Books,London,www.hamlyn.co.uk
Hammersmith Press,-1,United Kingdom,"Books, E-books",2004,Unkown,London,www.hammersmithpress.co.uk
HarperCollins,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com
"Hart-Davis, MacGibbon",-1,United Kingdom,Books,1972,Granada,London,Not available
Harvill Secker,https://upload.wikimedia.org/wikipedia/en/1/1f/Harvil_Secker_logo.jpg,United Kingdom,Books,2005,Penguin Random House,London,www.penguin.co.uk/company/publishers/vintage/harvill-secker.html
Haus Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Haus_Publishing_logo.png/200px-Haus_Publishing_logo.png,United Kingdom,Books,2002,Unkown,London,hauspublishing.com
J.H. Haynes,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Haynes-Logo.png/125px-Haynes-Logo.png,United Kingdom,Books,1960,Unkown,Sparkford,haynes.com
Herbert Jenkins Ltd,-1,United Kingdom,Books,1964,Random House,London,Not available
Hesperus Press,-1,United Kingdom,Books,2001,Unkown,"28 Mortimer Street, London W1W 7RD",www.hesperus.press
Hodder & Stoughton,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hodder_%26_Stoughton_%28logo%29.jpg/200px-Hodder_%26_Stoughton_%28logo%29.jpg,United Kingdom,Unknown,1868; 153 years ago (1868),Hachette,London,hodder.co.uk
Hodder Faith,https://upload.wikimedia.org/wikipedia/en/2/27/Hodder_Faith_Logo.jpg,United Kingdom,Unknown,1868,Hodder & Stoughton,"London, England",http://www.hodderfaith.com/
Hogarth Press,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg/220px-Hogarth_Press_House%2C_Richmond%2C_Surrey.jpg,United Kingdom,Books,1917,Chatto & Windus,London,Official website
