,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
118,Carson McCullers,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2124350,1917–1967,American,novelist,Reflections in a Golden Eye,[9]
119,James Merrill,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/20394,1926–1995,American,poet,"The Changing Light at Sandover, A Different Person",[9]
120,Edna St. Vincent Millay,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/20619,1892–1950,American,poet,"""Euclid alone has looked on Beauty bare"", ""Renascence"", and ""The Ballad of the Harp-Weaver"" (poems)",[9]
121,Edna St. Vincent Millay,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2118783,1892–1950,American,poet,"""Euclid alone has looked on Beauty bare"", ""Renascence"", and ""The Ballad of the Harp-Weaver"" (poems)",[9]
122,John Milton,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/20793,1608–1674,English,poet,"Paradise Lost, Paradise Regained",[9]
123,Yukio Mishima,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/20849,1925–1970,Japanese,"poet, playwright, novelist",Confessions of a Mask,[9]
124,Ethan Mordden,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/21168,b. 1949,American,"novelist, essayist","""Buddies"" cycle of novels",[295]
125,Frank O'Hara,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/22545,1926–1966,American,poetry,Lunch Poems,[9]
126,Achy Obejas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/22628,b. 1956,Cuban/American,writer and translator,Memory Mambo,[8]
127,Achy Obejas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2157821,b. 1956,Cuban/American,writer and translator,Memory Mambo,[8]
128,Achy Obejas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2248500,b. 1956,Cuban/American,writer and translator,Memory Mambo,[8]
129,Achy Obejas,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2256235,b. 1956,Cuban/American,writer and translator,Memory Mambo,[8]
130,Wilfred Owen,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/22984,1893–1918,English,poet,"""Anthem for Doomed Youth"" (poem)",[9]
131,Fernando Pessoa,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/23727,1888–1935,Portuguese,"poet, literary critic","Mensagem, The Book of Disquiet",[9]
132,Fernando Pessoa,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199622,1888–1935,Portuguese,"poet, literary critic","Mensagem, The Book of Disquiet",[9]
133,John Preston,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/24492,1945–1994,American,"novelist, editor",I Once Had a Master,[39]
134,John Preston,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2131374,1945–1994,American,"novelist, editor",I Once Had a Master,[39]
135,Marcel Proust,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/24609,1871–1922,French,"novelist, essayist",A la recherche du temps perdu (In Search of Lost Time),[9]
136,Marcel Proust,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112585,1871–1922,French,"novelist, essayist",A la recherche du temps perdu (In Search of Lost Time),[9]
137,Marcel Proust,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2198141,1871–1922,French,"novelist, essayist",A la recherche du temps perdu (In Search of Lost Time),[9]
138,Manuel Puig,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/24645,1932–1990,Argentine,novelist,Kiss of the Spider Woman,[8][9]
139,Manuel Puig,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174290,1932–1990,Argentine,novelist,Kiss of the Spider Woman,[8][9]
140,David Rakoff,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/24856,1964-2012,Canadian,humorist,"Fraud, Don't Get Too Comfortable",[326]
141,Mary Renault,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/25268,1905–1983,English,fiction,"The Charioteer, The Last of the Wine",[9]
142,Bill Richardson,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/25470,b. 1955,Canadian,humorist,Bachelor Brothers' Bed and Breakfast,[160]
143,Arthur Rimbaud,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/25589,1854–1891,French,poetry,A Season in Hell,[9]
144,Arthur Rimbaud,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2196272,1854–1891,French,poetry,A Season in Hell,[9]
145,Arthur Rimbaud,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2258771,1854–1891,French,poetry,A Season in Hell,[9]
146,Sinclair Ross,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/26246,1908-1996,Canadian,novelist,As For Me and My House,[347]
147,Vita Sackville-West,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/26647,1892–1962,British,novelist,The Land,[9]
148,Vita Sackville-West,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2261305,1892–1962,British,novelist,The Land,[9]
149,Manda Scott,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/27477,b. 1962,Scottish,novelist,Hen's Teeth,[367]
150,Shyam Selvadurai,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/27647,b. 1965,Sri Lankan-Canadian,novelist,Funny Boy,[6]
151,Maurice Sendak,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/27674,1928–2012,American,children's writer,Where the Wild Things Are,[369]
152,Maurice Sendak,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/110093,1928–2012,American,children's writer,Where the Wild Things Are,[369]
153,Ali Smith,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/28770,1962-,Scottish,novelist,Free Love and Other Stories,[378]
154,Ali Smith,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112240,1962-,Scottish,novelist,Free Love and Other Stories,[378]
