,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
382,Vivek Shraya,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172552,b. 1981,Canadian,short story writer,"God Loves Hair, She of the Mountains",[374]
383,Jaime Bayly,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2174705,b. 1965,Peruvian,"journalist, novelist",No se lo Digas a Nadie,[44]
384,Benjamin Alire Sáenz,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2175355,b. 1954,American,novelist,Everything Begins and Ends at the Kentucky Club,[357]
385,Gregory Scofield,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2186186,b. 1966,Canadian,poet,"The Gathering: Stones for the Medicine Wheel, Native Canadiana: Songs from the Urban Rez, Thunder Through My Veins",[366]
386,Douglas A. Martin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2189252,b. 1973,American,"novelist, poet",Outline of My Lover,[280]
387,Douglas A. Martin,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246139,b. 1973,American,"novelist, poet",Outline of My Lover,[280]
388,Paul Russell,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2195354,b. 1956,American,novels,"The Coming Storm, The Unreal Life of Sergey Nabokov",[353]
389,V. E. Schwab,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2195720,b. 1987,American,novelist,Shades of Magic series,[365]
390,V. E. Schwab,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2197655,b. 1987,American,novelist,Shades of Magic series,[365]
391,Neil Bartlett,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2197787,b. 1958,English,playwright,"More Bigger Snacks Now, A Vision of Love Revealed in Sleep, Sarrasine, A Judgement in Stone and Now That It's Morning",[9]
392,Catherine Hernandez,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199233,b. ?,Canadian,"playwright, novelist",Scarboorough,[217]
393,Joshua Whitehead,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199234,b. ?,Canadian,"poet, novelist","Full-Metal Indigiqueer, Johnny Appleseed",[426]
394,Trey Anthony,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2214263,b. 1983,Canadian,playwright,Da Kink in My Hair,[20]
395,Dennis Cooper,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2214684,b. 1953,American,writer,George Miles Cycle,[39][109]
396,Dennis Cooper,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2245071,b. 1953,American,writer,George Miles Cycle,[39][109]
397,Mattilda Bernstein Sycamore,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2214753,b. ?,American,novelist,The End of San Francisco,[49]
398,Mattilda Bernstein Sycamore,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246269,b. ?,American,novelist,The End of San Francisco,[49]
399,David Demchuk,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2216133,b. ?,Canadian,"novelist, playwright","The Bone Mother, Touch, If Betty Should Rise",[135]
400,Sara Farizan,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2218866,b. ?,American,young adult literature,If You Could Be Mine,[163]
401,George Santayana,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2221078,1863–1952,Spanish-American,"novelist, poet, philosopher",The Realms of Being,[9]
402,Sarah Schulman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2227376,b. 1958,American,"novelist, historian, playwright","Stagestruck: Theater, AIDS, and the Marketing of Gay America",[9]
403,Guy Hocquenghem,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2236096,1946–1988,French,theorist,"Homosexual Desire, L'Amour en relief (novel)",[9]
404,Hubert Fichte,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2237638,1935–1986,German,writer,Die Geschichte der Empfindlichkeit,[9]
405,Brad Fraser,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2238330,b. 1959,Canadian,playwright,"Unidentified Human Remains and the True Nature of Love, Poor Super Man",[6]
406,Jack Spicer,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2238346,1925–1965,American,poet,My Vocabulary Did This to Me: The Collected Poetry of Jack Spicer,[9]
407,Farzana Doctor,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2242700,b. ?,Canadian,novelist,Six Metres of Pavement,[139]
408,Ivan Coyote,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2243107,b. 1969,Canadian,"spoken word performer, writer",Tomboy Survival Guide,[118]
409,Eve Zaremba,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2244187,b. 1930,Polish/Canadian,mystery novelist,"A Reason to Kill, The Butterfly Effect",[6]
410,Daphne Gottlieb,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2246084,b. 1968,American,"poet, fiction, nonfiction, graphic novel",Final Girl,[197]
411,Ned Rorem,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247189,b. 1923,American,composer,The Paris Diary of Ned Rorem,[9]
412,Michael Sledge,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247209,b. ?,American,"novelist, memoirist",The More I Owe You,[377]
413,Caio Fernando Abreu,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2257128,1948-1996,Brazilian,"short stories, plays","Morangos Mofados, dragões não conhecem o paraíso",[1]
414,Joseph Hansen,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2265515,1923–2004,American,"novelist, poet",Series of novels featuring private eye Dave Brandstetter,[9]
415,Michael Nava,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2265521,b. 1954,American,mystery novels,"How Town, The Hidden Law, The Death of Friends, The Burning Plain, and Rag and Bone",[8]
416,Salvatore Antonio,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2267881,b. 1976,Canadian,playwright,In Gabriel's Kitchen,[21]
417,Colm Tóibín,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2268030,b. 1955,Irish,novelist and short story writer,The Heather Blazing,[402]
418,Noël Coward,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2269636,1899–1973,English,playwright,Private Lives,[9]
